범죄분류,14세 미만,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26-30세,31-35세,36-40세,41-45세,46-50세,51-55세,56-60세,61-70세,71세 이상,미상
병역법,0,0,0,0,0,0,39,55,93,155,311,446,468,729,162,33,4,18,29,15,6,0,0
부정경쟁방지 및 영업비밀보호에 관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,34,41,36,33,10,6,2,0
부정수표단속법,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,21,46,122,93,110,10,2
사행행위등규제및처벌특례법,0,0,0,0,0,0,0,0,1,2,3,3,3,14,39,68,64,89,59,47,18,0,0
산림자원의조성및관리에관한법률,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,14,16,48,68,71,85,30,1
산업안전보건법,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,77,204,408,380,265,148,13,8
산지관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,64,128,189,268,281,90,2
상표법,0,0,0,1,0,0,1,3,1,4,6,11,7,96,199,212,268,217,197,226,157,20,8
선박안전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,25,44,75,105,15,0
선박직원법,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,4,14,22,28,34,42,7,0
성매매알선등행위의처벌에관한법률,0,0,5,13,14,38,88,87,130,166,232,260,242,1429,1754,1687,1148,930,766,632,516,113,3
수산업법,0,0,0,0,0,0,0,0,0,0,0,1,0,1,15,30,60,123,224,225,219,27,5
수산자원관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,38,77,123,163,183,182,39,0
식품위생법,0,0,0,0,0,0,0,1,4,8,12,12,14,141,261,405,586,842,1070,1054,851,161,1
"아동,청소년의성보호에관한법률(성매수등)",0,5,22,23,30,32,27,21,16,15,13,20,6,53,62,68,51,25,18,13,10,0,0
"아동,청소년의성보호에관한법률(음란물등)",0,0,2,2,5,3,3,2,0,1,2,1,0,21,33,18,12,7,7,10,2,1,2
아동복지법,0,1,0,0,2,4,3,4,10,14,12,13,26,116,205,340,465,443,197,100,34,7,0
여객자동차운수사업법,0,0,0,0,0,0,7,8,23,25,17,44,37,164,289,243,186,166,204,213,240,30,0
여신전문금융업법,0,3,9,8,7,4,11,5,7,9,6,7,8,33,79,83,120,127,132,120,124,31,2
예비군법,0,0,0,0,0,0,0,0,0,10,121,266,462,3543,828,143,16,1,3,5,3,0,1
외국환거래법,0,0,0,0,0,0,0,0,0,0,0,0,1,8,17,19,12,12,14,6,9,4,9
의료법,0,0,0,1,3,2,6,9,5,6,7,17,4,63,130,251,277,373,278,227,177,82,8
자동차관리법,0,0,0,33,43,35,63,73,81,116,134,155,179,754,1130,1618,1636,1773,1744,1523,1108,148,13
자동차손해배상보장법,0,1,9,100,86,59,110,140,122,110,149,195,184,896,1285,1515,1822,2350,2220,1690,1089,254,26
저작권법,0,0,1,0,0,0,3,6,3,8,15,19,26,170,306,370,333,265,197,142,113,12,5
전자금융거래법,0,0,4,16,19,49,153,153,159,184,205,244,242,1040,1359,1259,1241,1181,952,785,388,46,10
정보통신망이용촉진 및 정보보호등에 관한법률,0,1,9,23,21,29,31,66,36,54,52,77,64,354,442,431,380,358,303,221,178,26,3
조세범 처벌법,0,0,0,0,0,0,0,0,0,0,1,0,1,18,109,195,298,309,301,234,151,27,11
주민등록법,0,1,18,58,76,49,9,6,4,11,7,6,6,42,57,57,74,58,72,70,37,10,0
청소년보호법,0,1,13,34,53,30,21,17,17,26,16,16,17,134,195,289,404,589,731,704,570,159,0
축산물위생관리법,0,0,0,0,0,0,0,0,0,0,0,2,1,13,50,62,115,156,105,111,99,15,1
출입국관리법,0,0,0,0,0,0,0,0,1,1,1,6,7,42,86,180,175,236,229,200,127,18,1
통신비밀보호법,0,0,0,0,0,0,1,0,0,0,2,0,0,3,11,8,18,15,7,5,6,0,0
특가법(도주차량),0,1,12,15,20,18,28,26,24,25,45,47,48,239,266,291,312,376,370,346,309,91,0
폐기물관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,99,107,174,215,223,160,29,2
풍속영업의 규제에 관한법률,0,0,0,0,0,0,0,0,1,0,0,3,5,13,20,29,21,36,31,19,17,3,0
학원의설립운영및과외교습에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,21,18,18,9,5,3,1,0
화물자동차운수사업법,0,0,0,0,0,0,0,1,1,3,5,2,7,46,96,185,283,329,281,259,207,24,0
기타특별법,0,14,29,58,55,50,116,155,165,213,238,298,333,1624,2700,3873,5118,6717,7571,7219,5703,1225,111
