범죄분류,없음,1회,2회,3회 이상,미상
절도,14627,1621,843,2887,30
장물,327,34,19,60,3
사기,3976,462,306,1445,36
횡령,1183,94,39,102,6
손괴,699,76,55,123,2
살인,16,0,1,0,1
강도,128,35,11,68,2
방화,98,8,2,9,1
성폭력,2706,157,67,143,10
폭행,9458,805,395,839,20
상해,4954,526,318,703,18
협박,511,46,13,50,6
공갈,1030,172,104,285,6
도로교통법,4716,489,246,659,9
