"재범기간및종류별(1)",재범기간및종류별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"동종재범",3년 이내,741,533,253,122,5,88,24,-,14,20,-,3,1,16,219,122,52,8,15,-,13,8,1,21,-,-,21,-,-,-,-,-,-,1,1,-,-,-,-,-,-,19,5,1,2,7,-,-,-,2,-,-,-,1,-,-,-,1,208,-,-,-,1,1,-,-,-,1,56,-,-,-,-,-,-,-,-,80,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,6,12,-,-,3,-,25,9,-,-,-,3,-,-,-,-,8
"동종재범",3년 초과,244,188,89,31,1,43,5,-,9,8,-,1,-,7,76,44,21,2,7,-,1,1,-,3,-,-,3,-,-,-,-,-,-,2,1,-,1,1,-,-,1,9,2,1,1,2,-,-,-,3,-,-,-,-,-,-,-,-,56,-,-,-,-,1,-,-,-,1,6,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,2,9,-,-,-,-,4,1,-,-,-,-,-,-,-,-,2
"이종재범",소계,13107,10347,6473,3814,43,2142,232,-,242,437,-,85,13,339,2774,1274,770,126,437,6,59,92,10,257,2,-,249,6,-,-,-,-,-,29,22,-,7,15,5,-,10,362,112,24,48,127,-,-,-,41,3,2,2,2,-,-,-,1,2760,-,-,-,13,25,-,-,1,1,441,6,-,-,-,-,-,-,1,1299,1,23,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,62,34,9,3,20,-,-,1,134,133,2,25,63,-,212,84,-,-,-,77,-,-,-,-,81
"이종재범",1개월 이내,2226,1961,1506,1028,4,400,39,-,35,47,-,11,1,35,339,101,112,6,93,-,10,14,3,17,-,-,16,1,-,-,-,-,-,3,2,-,1,-,-,-,-,49,11,3,7,24,-,-,-,3,1,-,-,-,-,-,-,-,265,-,-,-,1,4,-,-,-,-,22,1,-,-,-,-,-,-,-,132,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,8,6,1,-,5,-,-,-,8,15,2,2,9,-,19,2,-,-,-,17,-,-,-,-,8
"이종재범",3개월 이내,2412,2023,1332,863,5,380,42,-,42,68,-,19,5,44,509,233,127,28,94,-,9,18,-,40,-,-,38,2,-,-,-,-,-,2,2,-,-,3,-,-,3,69,15,8,8,29,-,-,-,7,-,-,1,1,-,-,-,-,389,-,-,-,-,5,-,-,-,-,46,1,-,-,-,-,-,-,-,209,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,14,5,3,-,4,-,-,-,7,20,-,6,7,-,31,7,-,-,-,9,-,-,-,-,12
"이종재범",6개월 이내,1926,1574,984,589,6,324,24,-,41,73,-,23,1,49,436,199,117,24,61,2,6,27,-,35,1,-,33,1,-,-,-,-,-,4,2,-,2,3,1,-,2,39,13,2,7,12,-,-,-,4,-,1,-,-,-,-,-,-,352,-,-,-,2,5,-,-,1,-,53,1,-,-,-,-,-,-,-,201,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,-,2,-,-,-,16,10,-,1,8,-,22,7,-,-,-,9,-,-,-,-,4
"이종재범",1년 이내,3948,2998,1791,926,19,700,79,-,67,142,-,20,1,121,849,426,228,38,125,2,14,14,2,91,-,-,90,1,-,-,-,-,-,8,6,-,2,4,1,-,3,113,42,7,14,37,-,-,-,11,1,-,-,-,-,-,-,1,950,-,-,-,6,7,-,-,-,-,163,3,-,-,-,-,-,-,-,421,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,10,2,2,5,-,-,1,50,54,-,9,24,-,66,33,-,-,-,22,-,-,-,-,37
"이종재범",2년 이내,1428,995,472,253,7,156,25,-,31,58,-,11,2,45,370,177,109,19,41,2,10,10,2,36,1,-,35,-,-,-,-,-,-,5,4,-,1,2,1,-,1,52,18,3,8,14,-,-,-,7,-,1,1,-,-,-,-,-,433,-,-,-,3,-,-,-,-,1,85,-,-,-,-,-,-,-,1,180,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,8,4,1,1,2,-,-,-,31,19,-,6,8,-,41,14,-,-,-,14,-,-,-,-,10
"이종재범",3년 이내,795,527,247,103,1,107,15,-,21,30,-,1,2,27,189,98,49,6,20,-,7,6,3,22,-,-,21,1,-,-,-,-,-,5,4,-,1,2,1,-,1,32,9,1,3,10,-,-,-,7,1,-,-,1,-,-,-,-,268,-,-,-,1,2,-,-,-,-,50,-,-,-,-,-,-,-,-,115,-,5,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,4,3,1,-,2,-,-,-,15,11,-,1,3,-,25,17,-,-,-,4,-,-,-,-,6
"이종재범",3년 초과,372,269,141,52,1,75,8,-,5,19,-,-,1,18,82,40,28,5,3,-,3,3,-,16,-,-,16,-,-,-,-,-,-,2,2,-,-,1,1,-,-,8,4,-,1,1,-,-,-,2,-,-,-,-,-,-,-,-,103,-,-,-,-,2,-,-,-,-,22,-,-,-,-,-,-,-,-,41,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,7,4,-,-,4,-,8,4,-,-,-,2,-,-,-,-,4
